State,$,&,(,),*,+,",",-,.,/,;,<,=,>,[,],boolean,char,class,constructor,do,else,false,field,function,identifier,if,int,integerConstant,let,method,null,return,static,stringConstant,this,true,var,void,while,{,|,},~,ClassName,ClassVarDec,ClassVarDecList,DoStatement,ElsePart,Expression,ExpressionList,IfHeader,IfStatement,KeywordConstant,LetStatement,Operation,ParameterList,ReturnStatement,S,Statement,StatementsList,SubroutineBody,SubroutineCall,SubroutineDec,SubroutineDecList,SubroutineName,Term,Type,TypedVarNameList,UnaryOperation,UnaryOperationList,VarDeclaration,VarDeclarationList,VarName,VarNameList,WhileCondition,WhileHeader,WhileStatement
0,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,S3,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,R18,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,S11,,,,S10,S12,,,,,,S13,,,S9,,,,,,,,,S6,,,7,15,,,,,,,,,,,,,,,,,8,14,,,,,,,,,,,,,
6,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,R5,,,,R5,R5,,,,,,R5,,,R5,,,,,,,,,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,R7,,,,,R7,,,,,,R7,,,,,,,,,,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,S18,S19,,,,,,,,S3,,S20,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,
10,,,,,,,,,,,,,,,,,S18,S19,,,,,,,,S3,,S20,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,
11,,,,,,,,,,,,,,,,,S18,S19,,,,,,,,S3,,S20,,,,,,,,,,,S23,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,
12,,,,,,,,,,,,,,,,,S18,S19,,,,,,,,S3,,S20,,,,,,,,,,,S25,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,
13,,,,,,,,,,,,,,,,,S18,S19,,,,,,,,S3,,S20,,,,,,,,,,,S27,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,S11,,,,,S12,,,,,,S13,,,,,,,,,,,,S28,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,S11,,,,S10,S12,,,,,,S13,,,S9,,,,,,,,,S30,,,31,,,,,,,,,,,,,,,,,,8,32,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,S33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,34,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,R13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,S33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,36,,,
