State,&,(,),*,+,",",-,.,/,;,<,=,>,EOF,[,],boolean,char,class,constructor,do,else,false,field,function,identifier,if,int,integerConstant,let,method,null,return,static,stringConstant,this,true,var,void,while,{,|,},~,ClassName,ClassVarDec,ClassVarDecList,DoStatement,ElsePart,Expression,ExpressionList,IfHeader,IfStatement,KeywordConstant,LetStatement,Operation,ParameterList,ReturnStatement,ReturnType,S,Statement,StatementsList,SubroutineBody,SubroutineCall,SubroutineDec,SubroutineDecList,SubroutineName,Term,Type,TypedVarNameList,UnaryOperation,UnaryOperationList,VarDeclaration,VarDeclarationList,VarName,VarNameList,WhileHeader,WhileStatement
0,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,S4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,S6,,,,S14,S15,,,,,,S8,,,S13,,,,,,,,,S7,,,11,12,,,,,,,,,,,,,,,,,,10,9,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,S4,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,S18,S22,,,,,,,,S4,,S23,,,,,,,,,,,S17,,,,,,20,,,,,,,,,,,,,,19,,,,,,,,,,21,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,S6,,,,,S15,,,,,,S8,,,,,,,,,,,,S24,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,R7,,,,,R7,,,,,,R7,,,,,,,,,,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,R5,,,,R5,R5,,,,,,R5,,,R5,,,,,,,,,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,S6,,,,S14,S15,,,,,,S8,,,S13,,,,,,,,,S26,,,28,,,,,,,,,,,,,,,,,,,10,27,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,S18,S22,,,,,,,,S4,,S23,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,
14,,,,,,,,,,,,,,,,,S18,S22,,,,,,,,S4,,S23,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,
15,,,,,,,,,,,,,,,,,S18,S22,,,,,,,,S4,,S23,,,,,,,,,,,S17,,,,,,20,,,,,,,,,,,,,,31,,,,,,,,,,21,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,S32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,R23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,R13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,S32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,
