State,&,(,),*,+,",",-,.,/,;,<,=,>,EOF,[,],boolean,char,class,constructor,do,else,false,field,function,identifier,if,int,integerConstant,let,method,null,return,static,stringConstant,this,true,var,void,while,{,|,},~,ClassName,ClassVarDec,ClassVarDecList,DoStatement,ElsePart,Expression,ExpressionList,IfHeader,IfStatement,KeywordConstant,LetStatement,Operation,ParameterList,ReturnStatement,ReturnType,S,Statement,StatementsList,SubroutineBody,SubroutineCall,SubroutineDec,SubroutineDecList,SubroutineName,Term,Type,TypedVarNameList,UnaryOperation,UnaryOperationList,VarDeclaration,VarDeclarationList,VarName,VarNameList,WhileHeader,WhileStatement
0,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,S3,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,S8,,,,S9,S6,,,,,,S10,,,S15,,,,,,,,,S13,,,7,12,,,,,,,,,,,,,,,,,,11,14,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,S21,S19,,,,,,,,S3,,S17,,,,,,,,,,,S16,,,,,,18,,,,,,,,,,,,,,22,,,,,,,,,,20,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,R5,,,,R5,R5,,,,,,R5,,,R5,,,,,,,,,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,S3,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,S21,S19,,,,,,,,S3,,S17,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,
10,,,,,,,,,,,,,,,,,S21,S19,,,,,,,,S3,,S17,,,,,,,,,,,S16,,,,,,18,,,,,,,,,,,,,,25,,,,,,,,,,20,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,R7,,,,,R7,,,,,,R7,,,,,,,,,,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,S8,,,,S9,S6,,,,,,S10,,,S15,,,,,,,,,S27,,,26,,,,,,,,,,,,,,,,,,,11,28,,,,,,,,,,,,
13,,,,,,,,,,,,,,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,S8,,,,,S6,,,,,,S10,,,,,,,,,,,,S30,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,S21,S19,,,,,,,,S3,,S17,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,R23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,R13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
